Comment,Designator,Footprint,LCSC
"2.2u","C1,C9","Capacitor_SMD:C_0402_1005Metric","C12530"
"4.7u","C10,C11","Capacitor_SMD:C_0402_1005Metric","C23687"
"100n","C2,C3,C6,C7,C8,C12,C19,C25","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C23","Capacitor_SMD:C_0402_1005Metric","C307413"
"18p","C4,C5","Capacitor_SMD:C_0402_1005Metric","C541431"
"Conn_01x04","CONN1","Igor:CONN_SM04B-SRSS-TB_JST","C160404"
"PINHD-1X10-FFC-1MM-Z","CONN2,CONN3","Igor:CONN_SM10B-SRSS-TB_JST","C160409"
"Conn_ST_STDC14","CONN4","Igor:SAMTEC_FTSH-107-01-L-DV-K","C5307809"
"RS6011SP6003","FADER1,FADER2,FADER3,FADER4,FADER5,FADER6,FADER7,FADER8,FADER9,FADER10,FADER11,FADER12,FADER13,FADER14,FADER15,FADER16","Igor:RS6011_P","C370993"
"30R@100MHz","FB1","Resistor_SMD:R_0805_2012Metric","C16903"
"0","R1","Resistor_SMD:R_0805_2012Metric","C2074916"
"5.1k","R2,R3,R4","Resistor_SMD:R_0402_1005Metric","C25905"
"~","SW1","Button_Switch_THT:SW_PUSH_6mm","C13828"
"MCP1825S","U2","Package_TO_SOT_SMD:SOT-223","C148031"
"MC14067BDWR2G-SO24W","U3","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","C555478"
"STM32F405RGTx","U5","Package_QFP:LQFP-64_10x10mm_P0.5mm","C15742"
"8MHz","Y1","Crystal:Crystal_SMD_5032-4Pin_5.0x3.2mm","C2901620"
