Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0402_1005Metric,524.3,-187.8,180,bottom
C2,100n,C_0402_1005Metric,510.15,-190.35,90,bottom
C3,100n,C_0402_1005Metric,336.5,-205.35,180,bottom
C4,18p,C_0402_1005Metric,506.3,-190.3,0,bottom
C5,18p,C_0402_1005Metric,504.15,-185.1,-90,bottom
C6,100n,C_0402_1005Metric,520.3,-176.95,-90,bottom
C7,100n,C_0402_1005Metric,524.3,-188.85,180,bottom
C8,100n,C_0402_1005Metric,504.45,-183.05,0,bottom
C9,2.2u,C_0402_1005Metric,519.25,-176.95,-90,bottom
C10,4.7u,C_0402_1005Metric,521.8,-169.25,90,bottom
C11,4.7u,C_0402_1005Metric,513.25,-169.22,90,bottom
C12,100n,C_0402_1005Metric,512.8,-192.45,90,bottom
C19,100n,C_0402_1005Metric,513.65,-176.95,-90,bottom
C23,1u,C_0402_1005Metric,508.72,-182.95,180,bottom
C25,100n,C_0402_1005Metric,508.72,-181.55,180,bottom
CONN1,Conn_01x04,CONN_SM04B-SRSS-TB_JST,530.85,-177.85,90,bottom
CONN2,PINHD-1X10-FFC-1MM-Z,CONN_SM10B-SRSS-TB_JST,491.9,-200.5,180,bottom
CONN3,PINHD-1X10-FFC-1MM-Z,CONN_SM10B-SRSS-TB_JST,491.9,-185.5,180,bottom
CONN4,Conn_ST_STDC14,SAMTEC_FTSH-107-01-L-DV-K,516.78,-201.1,180,bottom
FB1,30R@100MHz,R_0805_2012Metric,512.75,-162.97,90,bottom
R1,0,R_0805_2012Metric,484.05,-189.6,180,bottom
R2,5.1k,R_0402_1005Metric,508.1,-193.35,90,bottom
R3,5.1k,R_0402_1005Metric,516.3,-172.05,90,bottom
R4,5.1k,R_0402_1005Metric,514.8,-192.45,90,bottom
U2,MCP1825S,SOT-223,517.45,-165.7,90,bottom
U3,MC14067BDWR2G-SO24W,SOIC-24W_7.5x15.4mm_P1.27mm,341.5,-213.6,180,bottom
U5,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,516.55,-184.7,0,bottom
Y1,8MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,506.85,-186.75,90,bottom
FADER1,RS6011SP6003,RS6011_P,154,-193.6,90,top
FADER2,RS6011SP6003,RS6011_P,179,-193.6,90,top
FADER3,RS6011SP6003,RS6011_P,204,-193.6,90,top
FADER4,RS6011SP6003,RS6011_P,229,-193.6,90,top
FADER5,RS6011SP6003,RS6011_P,254,-193.6,90,top
FADER6,RS6011SP6003,RS6011_P,279,-193.6,90,top
FADER7,RS6011SP6003,RS6011_P,304,-193.6,90,top
FADER8,RS6011SP6003,RS6011_P,329,-193.6,90,top
FADER9,RS6011SP6003,RS6011_P,354,-193.6,90,top
FADER10,RS6011SP6003,RS6011_P,379,-193.6,90,top
FADER11,RS6011SP6003,RS6011_P,404,-193.6,90,top
FADER12,RS6011SP6003,RS6011_P,429,-193.6,90,top
FADER13,RS6011SP6003,RS6011_P,454,-193.6,90,top
FADER14,RS6011SP6003,RS6011_P,479,-193.6,90,top
FADER15,RS6011SP6003,RS6011_P,504,-193.6,90,top
FADER16,RS6011SP6003,RS6011_P,529,-193.6,90,top
SW1,~,SW_PUSH_6mm,341.5,-193.6,0,top
