Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,CP_Elec_4x5.4,478.455,-224.14,180,bottom
C2,100n,C_0402_1005Metric,481.455,-226.29,-90,bottom
C3,100n,C_0402_1005Metric,186.125,-192.86,0,bottom
C4,100n,C_0402_1005Metric,286.124999,-192.86,0,bottom
C5,100n,C_0402_1005Metric,386.124998,-192.859999,0,bottom
C6,100n,C_0402_1005Metric,486.124997,-192.859998,0,bottom
CONN1,~,CONN_SM10B-SRSS-TB_JST,491.9,-224.8,0,bottom
U1,MC14067BDWR2G-SO24W,SOIC-24W_7.5x15.4mm_P1.27mm,191.475,-201.66,180,bottom
U2,MC14067BDWR2G-SO24W,SOIC-24W_7.5x15.4mm_P1.27mm,291.474999,-201.66,180,bottom
U3,MC14067BDWR2G-SO24W,SOIC-24W_7.5x15.4mm_P1.27mm,391.474998,-201.659999,180,bottom
U4,MC14067BDWR2G-SO24W,SOIC-24W_7.5x15.4mm_P1.27mm,491.474997,-201.659998,180,bottom
R1,10k,RK09D1130C2P,154,-164,180,top
R2,10k,RK09D1130C2P,154,-189,180,top
R3,10k,RK09D1130C2P,154,-214,180,top
R4,10k,RK09D1130C2P,154,-239,180,top
R5,10k,RK09D1130C2P,179,-164,180,top
R6,10k,RK09D1130C2P,179,-189,180,top
R7,10k,RK09D1130C2P,179,-214,180,top
R8,10k,RK09D1130C2P,179,-239,180,top
R9,10k,RK09D1130C2P,204,-164,180,top
R10,10k,RK09D1130C2P,204,-189,180,top
R11,10k,RK09D1130C2P,204,-214,180,top
R12,10k,RK09D1130C2P,204,-239,180,top
R13,10k,RK09D1130C2P,229,-164,180,top
R14,10k,RK09D1130C2P,229,-189,180,top
R15,10k,RK09D1130C2P,229,-214,180,top
R16,10k,RK09D1130C2P,229,-239,180,top
R17,10k,RK09D1130C2P,254,-164,180,top
R18,10k,RK09D1130C2P,254,-189,180,top
R19,10k,RK09D1130C2P,254,-214,180,top
R20,10k,RK09D1130C2P,254,-239,180,top
R21,10k,RK09D1130C2P,279,-164,180,top
R22,10k,RK09D1130C2P,279,-189,180,top
R23,10k,RK09D1130C2P,279,-214,180,top
R24,10k,RK09D1130C2P,279,-239,180,top
R25,10k,RK09D1130C2P,304,-164,180,top
R26,10k,RK09D1130C2P,304,-189,180,top
R27,10k,RK09D1130C2P,304,-214,180,top
R28,10k,RK09D1130C2P,304,-239,180,top
R29,10k,RK09D1130C2P,329,-164,180,top
R30,10k,RK09D1130C2P,329,-189,180,top
R31,10k,RK09D1130C2P,329,-214,180,top
R32,10k,RK09D1130C2P,329,-239,180,top
R33,10k,RK09D1130C2P,354,-164,180,top
R34,10k,RK09D1130C2P,354,-189,180,top
R35,10k,RK09D1130C2P,354,-214,180,top
R36,10k,RK09D1130C2P,354,-239,180,top
R37,10k,RK09D1130C2P,379,-164,180,top
R38,10k,RK09D1130C2P,379,-189,180,top
R39,10k,RK09D1130C2P,379,-214,180,top
R40,10k,RK09D1130C2P,379,-239,180,top
R41,10k,RK09D1130C2P,404,-164,180,top
R42,10k,RK09D1130C2P,404,-189,180,top
R43,10k,RK09D1130C2P,404,-214,180,top
R44,10k,RK09D1130C2P,404,-239,180,top
R45,10k,RK09D1130C2P,429,-164,180,top
R46,10k,RK09D1130C2P,429,-189,180,top
R47,10k,RK09D1130C2P,429,-214,180,top
R48,10k,RK09D1130C2P,429,-239,180,top
R49,10k,RK09D1130C2P,454,-164,180,top
R50,10k,RK09D1130C2P,454,-189,180,top
R51,10k,RK09D1130C2P,454,-214,180,top
R52,10k,RK09D1130C2P,454,-239,180,top
R53,10k,RK09D1130C2P,479,-164,180,top
R54,10k,RK09D1130C2P,479,-189,180,top
R55,10k,RK09D1130C2P,479,-214,180,top
R56,10k,RK09D1130C2P,479,-239,180,top
R57,10k,RK09D1130C2P,504,-164,180,top
R58,10k,RK09D1130C2P,504,-189,180,top
R59,10k,RK09D1130C2P,504,-214,180,top
R60,10k,RK09D1130C2P,504,-239,180,top
R61,10k,RK09D1130C2P,529,-164,180,top
R62,10k,RK09D1130C2P,529,-189,180,top
R63,10k,RK09D1130C2P,529,-214,180,top
R64,10k,RK09D1130C2P,529,-239,180,top
