Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AH1,3x08,3x08,166.365,-100.775,0,top
AH2,3x08,3x08,177.8,-100.76,0,top
AH3,3x08,3x08,189.23,-100.76,0,top
AH4,3x08,3x08,200.792,-100.745,0,top
AH5,3x08,3x08,212.217,-100.76,0,top
AH6,3x08,3x08,223.652,-100.745,0,top
AH7,3x08,3x08,235.072,-100.76,0,top
AH8,3x08,3x08,246.507,-100.745,0,top
C1,100n,C_0402_1005Metric,175.641,-85.725,90,top
C2,100n,C_0402_1005Metric,198.628,-85.725,90,top
C3,100n,C_0402_1005Metric,244.348,-85.725,90,top
C4,100n,C_0402_1005Metric,172.593,-49.15964,180,top
C5,100n,C_0402_1005Metric,182.118,-76.454,180,top
C6,100n,C_0402_1005Metric,221.488,-85.725,90,top
C7,100n,C_0402_1005Metric,146.655,-80.337916,180,top
C8,100n,C_0402_1005Metric,170.18,-62.738,180,top
C9,100n,C_0402_1005Metric,157.196,-82.765916,180,top
C10,100n,C_0402_1005Metric,203.6,-45.3,180,top
C11,100n,C_0402_1005Metric,247.4468,-68.0212,90,top
C12,100n,C_0402_1005Metric,238.4044,-69.9008,90,top
C14,1u,C_0402_1005Metric,257.889,-68.01625,0,top
C15,10u,C_0402_1005Metric,251.3076,-35.3568,90,top
C16,100n,C_0402_1005Metric,250.19,-35.3568,90,top
C17,100n,C_0402_1005Metric,238.2012,-40.7924,90,top
C18,100n,C_0402_1005Metric,235.1532,-46.228,180,top
C19,100n,C_0402_1005Metric,234.5944,-50.1904,180,top
C20,100n,C_0402_1005Metric,242.225,-55.15,-90,top
C21,100n,C_0402_1005Metric,245.3132,-50.6476,-90,top
C22,100n,C_0402_1005Metric,245.4148,-46.228,0,top
C23,100n,C_0402_1005Metric,243.225,-55.15,90,top
C24,100n,C_0402_1005Metric,240.411,-43.053,90,top
C25,100n,C_0402_1005Metric,239.1,-42.975,-90,top
C26,100n,C_0402_1005Metric,245.5926,-44.8818,0,top
C27,16p,C_0402_1005Metric,237.1,-54.85,-90,top
C28,16p,C_0402_1005Metric,241.15,-57.2262,-90,top
C29,1u,C_0402_1005Metric,243.5098,-43.4848,180,top
C30,1u,C_0402_1005Metric,243.5098,-44.4754,0,top
C31,1u,C_0402_1005Metric,249.25,-42.975,-90,top
C32,100n,C_0402_1005Metric,241.4016,-42.8498,90,top
C35,100n,C_0402_1005Metric,170.45,-81.8,180,top
D1,1N4148WT,D_SOD-523,97.79,-33.782,0,top
D2,1N4148WT,D_SOD-523,97.79,-38.862,0,top
D3,1N4148WT,D_SOD-523,97.79,-43.942,0,top
D4,1N4148WT,D_SOD-523,97.79,-49.022,0,top
D5,1N4148WT,D_SOD-523,133.35,-33.782,0,top
D6,1N4148WT,D_SOD-523,133.35,-38.862,0,top
D7,1N4148WT,D_SOD-523,133.35,-43.942,0,top
D8,1N4148WT,D_SOD-523,133.35,-49.022,0,top
D9,1N4148WT,D_SOD-523,97.79,-31.242,0,top
D10,1N4148WT,D_SOD-523,97.79,-36.322,0,top
D11,1N4148WT,D_SOD-523,97.79,-41.402,0,top
D12,1N4148WT,D_SOD-523,97.79,-46.482,0,top
D13,1N4148WT,D_SOD-523,133.35,-31.242,0,top
D14,1N4148WT,D_SOD-523,133.35,-36.322,0,top
D15,1N4148WT,D_SOD-523,133.35,-41.402,0,top
D16,1N4148WT,D_SOD-523,133.35,-46.482,0,top
D17,1N4148WT,D_SOD-523,106.68,-33.782,0,top
D18,1N4148WT,D_SOD-523,106.68,-38.862,0,top
D19,1N4148WT,D_SOD-523,106.68,-43.942,0,top
D20,1N4148WT,D_SOD-523,106.68,-49.022,0,top
D21,1N4148WT,D_SOD-523,142.24,-33.782,0,top
D22,1N4148WT,D_SOD-523,142.24,-38.862,0,top
D23,1N4148WT,D_SOD-523,142.24,-43.942,0,top
D24,1N4148WT,D_SOD-523,142.24,-49.022,0,top
D25,1N4148WT,D_SOD-523,106.68,-31.242,0,top
D26,1N4148WT,D_SOD-523,106.68,-36.322,0,top
D27,1N4148WT,D_SOD-523,106.68,-41.402,0,top
D28,1N4148WT,D_SOD-523,106.68,-46.482,0,top
D29,1N4148WT,D_SOD-523,142.24,-31.242,0,top
D30,1N4148WT,D_SOD-523,142.24,-36.322,0,top
D31,1N4148WT,D_SOD-523,142.24,-41.402,0,top
D32,1N4148WT,D_SOD-523,142.24,-46.482,0,top
D33,1N4148WT,D_SOD-523,193.929,-48.387,-90,top
D34,1N4148WT,D_SOD-523,115.57,-33.782,0,top
D35,1N4148WT,D_SOD-523,115.57,-38.862,0,top
D36,1N4148WT,D_SOD-523,115.57,-43.942,0,top
D37,1N4148WT,D_SOD-523,115.57,-49.022,0,top
D38,1N4148WT,D_SOD-523,151.13,-33.782,0,top
D39,1N4148WT,D_SOD-523,151.13,-38.862,0,top
D40,1N4148WT,D_SOD-523,151.13,-43.942,0,top
