Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,202.15,-175.6,-90,bottom
C2,100n,C_0402_1005Metric,302.15,-175.6,-90,bottom
C3,100n,C_0402_1005Metric,402.15,-175.6,-90,bottom
C4,100n,C_0402_1005Metric,502.1,-175.6,-90,bottom
C5,10u,CP_Elec_4x5.4,491.85,-165.15,90,bottom
C6,100n,C_0402_1005Metric,495.075,-167.605,90,bottom
C7,100n,C_0402_1005Metric,342.2,-166.3,180,bottom
C8,100n,C_0402_1005Metric,479.93,-176.2,0,bottom
C9,100n,C_0402_1005Metric,356.4,-169.3,-90,bottom
CONN1,~,CONN_SM10B-SRSS-TB_JST,491.9,-172.8,0,bottom
R1,4k7,R_0603_1608Metric,148,-156.500002,90,bottom
R2,4k7,R_0603_1608Metric,173,-156.500001,90,bottom
R3,4k7,R_0603_1608Metric,198,-156.500001,90,bottom
R4,4k7,R_0603_1608Metric,223,-156.500001,90,bottom
R5,4k7,R_0603_1608Metric,148.000001,-188.500001,-90,bottom
R6,4k7,R_0603_1608Metric,173,-188.5,-90,bottom
R7,4k7,R_0603_1608Metric,198,-188.5,-90,bottom
R8,4k7,R_0603_1608Metric,223,-188.5,-90,bottom
R9,4k7,R_0603_1608Metric,248,-156.500002,90,bottom
R10,4k7,R_0603_1608Metric,273,-156.500001,90,bottom
R11,4k7,R_0603_1608Metric,298,-156.500001,90,bottom
R12,4k7,R_0603_1608Metric,323,-156.500001,90,bottom
R13,4k7,R_0603_1608Metric,248.000001,-188.500001,-90,bottom
R14,4k7,R_0603_1608Metric,273,-188.5,-90,bottom
R15,4k7,R_0603_1608Metric,298,-188.5,-90,bottom
R16,4k7,R_0603_1608Metric,323,-188.5,-90,bottom
R17,4k7,R_0603_1608Metric,348,-156.5,90,bottom
R18,4k7,R_0603_1608Metric,373,-156.5,90,bottom
R19,4k7,R_0603_1608Metric,398,-156.5,90,bottom
R20,4k7,R_0603_1608Metric,423,-156.5,90,bottom
R21,4k7,R_0603_1608Metric,348,-188.5,-90,bottom
R22,4k7,R_0603_1608Metric,373,-188.5,-90,bottom
R23,4k7,R_0603_1608Metric,398,-188.5,-90,bottom
R24,4k7,R_0603_1608Metric,423,-188.5,-90,bottom
R25,4k7,R_0603_1608Metric,448,-156.5,90,bottom
R26,10k,R_0402_1005Metric,332.05,-169.75,90,bottom
R27,4k7,R_0603_1608Metric,473,-156.5,90,bottom
R28,4k7,R_0603_1608Metric,498,-156.5,90,bottom
R29,4k7,R_0603_1608Metric,523,-156.5,90,bottom
R30,4k7,R_0603_1608Metric,448,-188.5,-90,bottom
R31,4k7,R_0603_1608Metric,473,-188.5,-90,bottom
R32,4k7,R_0603_1608Metric,498,-188.5,-90,bottom
R33,4k7,R_0603_1608Metric,523,-188.5,-90,bottom
U1,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,207.9,-172.8,-90,bottom
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,307.9,-172.8,-90,bottom
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,407.9,-172.8,-90,bottom
U4,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,507.9,-172.8,-90,bottom
U5,MAX7219,SOIC-24W_7.5x15.4mm_P1.27mm,340.9,-172.8,90,bottom
U6,74HCT125,TSSOP-14_4.4x5mm_P0.65mm,476.88,-172.8,0,bottom
U9,74HCT125,TSSOP-14_4.4x5mm_P0.65mm,353.3,-172.8,90,bottom
SW1,~,Omron-B3W-9,154,-160,90,top
SW2,~,Omron-B3W-9,179,-160,90,top
SW3,~,Omron-B3W-9,204,-160,90,top
SW4,~,Omron-B3W-9,229,-160,90,top
SW5,~,Omron-B3W-9,254,-160,90,top
SW6,~,Omron-B3W-9,279,-160,90,top
SW7,~,Omron-B3W-9,304,-160,90,top
SW8,~,Omron-B3W-9,329,-160,90,top
SW9,~,Omron-B3W-9,354,-160,90,top
SW10,~,Omron-B3W-9,379,-160,90,top
SW11,~,Omron-B3W-9,404,-160,90,top
SW12,~,Omron-B3W-9,429,-160,90,top
SW13,~,Omron-B3W-9,454,-160,90,top
SW14,~,Omron-B3W-9,479,-160,90,top
SW15,~,Omron-B3W-9,504,-160,90,top
SW16,~,Omron-B3W-9,529,-160,90,top
SW17,~,Omron-B3W-9,154,-185,-90,top
SW18,~,Omron-B3W-9,179,-185,-90,top
SW19,~,Omron-B3W-9,204,-185,-90,top
SW20,~,Omron-B3W-9,229,-185,-90,top
SW21,~,Omron-B3W-9,254,-185,-90,top
SW22,~,Omron-B3W-9,279,-185,-90,top
SW23,~,Omron-B3W-9,304,-185,-90,top
SW24,~,Omron-B3W-9,329,-185,-90,top
SW25,~,Omron-B3W-9,354,-185,-90,top
SW26,~,Omron-B3W-9,379,-185,-90,top
SW27,~,Omron-B3W-9,404,-185,-90,top
SW28,~,Omron-B3W-9,429,-185,-90,top
SW29,~,Omron-B3W-9,454,-185,-90,top
SW30,~,Omron-B3W-9,479,-185,-90,top
SW31,~,Omron-B3W-9,504,-185,-90,top
SW32,~,Omron-B3W-9,529,-185,-90,top
